Parcels,Time_us,Memory_Before_KB,Memory_After_KB,Memory_Delta_KB
1,43,76836,76836,0
1,4,76836,76836,0
1,5,76836,76836,0
1,3,76836,76836,0
2,5,76836,76836,0
3,7,76836,76836,0
3,5,76836,76836,0
4,4,76836,76836,0
5,5,76836,76836,0
7,13,76836,76836,0
9,5,76836,76836,0
11,10,76836,76836,0
14,7,76836,76836,0
18,7,76836,76836,0
22,7,76836,76836,0
28,8,76836,76836,0
35,10,76836,76836,0
44,17,76836,76836,0
55,12,76836,76836,0
69,12,76836,76836,0
86,20,76836,76836,0
108,17,76836,76836,0
135,19,77096,77096,0
169,37,77104,77104,0
211,35,77104,77104,0
264,39,77104,77104,0
330,47,77104,77104,0
413,64,77104,77104,0
516,70,77104,77104,0
646,82,77104,77104,0
807,132,77104,77244,140
1009,122,77244,77244,0
1262,160,77244,77244,0
1577,243,77244,77424,180
1972,233,77424,77424,0
2465,302,77424,77424,0
3081,366,77424,77424,0
3851,560,77424,77804,380
4814,698,77804,78044,240
6018,800,78044,78044,0
7523,1126,78044,78572,528
9403,1422,78572,78928,356
11754,1628,78928,79192,264
14693,2290,79192,79984,792
18367,3201,79984,80784,800
22958,3848,80784,81576,792
28698,5922,81576,83160,1584
35873,8367,83160,84500,1340
44841,9965,84500,86084,1584
56051,13801,86084,89252,3168
70064,19455,89252,92116,2864
87581,22698,92116,94756,2640
109476,32412,94756,101356,6600
136845,45964,101356,106692,5336
171056,59263,106692,111972,5280
213821,77529,111972,118308,6336
267276,119658,118308,136260,17952
334095,181235,136260,145800,9540
417619,235764,145800,158208,12408
522024,323870,158208,183024,24816
652530,466472,183024,212504,29480
815663,573251,212504,236792,24288
1019578,736019,236792,288272,51480
1274473,1053638,288272,344368,56096
1593091,1249911,344368,391888,47520
1991364,1624690,391888,498544,106656
2489206,2272893,498544,604324,105780
3111507,2691997,604324,697516,93192
3889384,3483989,697516,918220,220704
4861730,4065519,918220,1118604,200384
6077163,4780847,1118604,1301836,183232
7596454,5852573,1301836,1531536,229700
9495567,8713696,1531536,2138548,607012
11869459,10260847,2138548,2500592,362044
14836824,12446052,2500592,2956028,455436
18546030,18959759,2956028,4168580,1212552
23182538,21745570,4168580,4887992,719412
28978173,25774900,4887992,5792416,904424
36222716,31818962,5792416,7714508,1922092
45278395,45010259,7714508,9639340,1924832
56597994,51808422,9639340,11415864,1776524
70747492,61460778,11415864,15194716,3778852
88434366,70710843,15194716,17905880,2711164
110542957,97819163,17905880,22225144,4319264
138178696,109398868,22225144,29326456,7101312

