Number of Nodes,Number of Leaf Nodes,Number of Queries,Time (microseconds),Memory Before (KB),Memory After (KB),Memory Delta (KB)
1,1,100000,13897,89028,89028,0
2,1,100000,13135,89028,89028,0
3,1,100000,14335,89028,89028,0
4,2,100000,15598,89028,89028,0
5,2,100000,14434,91140,91140,0
6,3,100000,16356,88980,88980,0
7,3,100000,14286,91140,91140,0
9,4,100000,16179,91140,91140,0
11,4,100000,16467,91140,91140,0
14,6,100000,17963,91140,91140,0
18,7,100000,19007,91140,91140,0
21,9,100000,18716,88980,88980,0
22,8,100000,18093,91140,91140,0
28,8,100000,17817,91140,91140,0
35,14,100000,22807,91140,91140,0
40,15,100000,17596,91092,91092,0
44,16,100000,23303,91140,91140,0
55,17,100000,24929,91140,91140,0
69,25,100000,22196,91140,91140,0
74,25,100000,26580,91092,91092,0
86,27,100000,24444,91140,91140,0
108,34,100000,25434,91140,91140,0
135,46,100000,33012,91140,91140,0
137,45,100000,30184,91092,91092,0
169,54,100000,27225,91140,91140,0
211,71,100000,33512,91140,91140,0
253,84,100000,38256,91092,91092,0
264,88,100000,39269,91140,91140,0
330,107,100000,48656,91140,91140,0
413,146,100000,46133,91140,91140,0
469,154,100000,48864,91092,91092,0
516,178,100000,61397,91140,91140,0
646,221,100000,82267,91140,91140,0
807,277,100000,62907,91404,91404,0
868,291,100000,68742,91092,91092,0
1009,336,100000,91572,91404,91404,0
1262,414,100000,126860,91932,91932,0
1577,540,100000,112147,92196,92196,0
1607,527,100000,115023,91620,91620,0
1972,658,100000,153333,92460,92460,0
2465,858,100000,323909,93516,93516,0
2973,988,100000,395373,91620,92676,1056
3081,1027,100000,484972,94308,94308,0
3851,1294,100000,427140,95100,95364,264
4814,1612,100000,721834,96156,96684,528
5500,1840,100000,812624,94260,96108,1848
6018,2008,100000,846096,97476,98268,792
7523,2483,100000,1259534,99324,101436,2112
9403,3133,100000,1444466,101436,104076,2640
10175,3439,100000,1397838,97428,102444,5016
11754,3924,100000,1737155,104076,107244,3168
14693,4919,100000,1805328,107244,113512,6268
18367,6108,100000,2314715,113512,118452,4940
18825,6366,100000,2279679,102444,114588,12144
22958,7669,100000,3195145,118452,124788,6336
28698,9570,100000,3898867,131976,137164,5188
34827,11551,100000,5188962,118076,136360,18284
35873,11962,100000,4952431,137164,147196,10032
44841,14969,100000,8460600,147196,159868,12672
56051,18714,100000,4730586,173980,183780,9800
64430,21434,100000,9481698,150736,178104,27368
70064,23350,100000,16719600,183780,203444,19664
87581,29151,100000,28628141,203444,228116,24672
109476,36534,100000,22614348,257328,275476,18148
119196,39653,100000,32500895,207316,257200,49884
136845,45556,100000,34151531,275476,313928,38452
171056,57010,100000,59810520,313928,361552,47624
213821,71261,100000,61670284,370460,423636,53176
220513,73438,100000,52876308,293236,376224,82988
267276,89184,100000,97263971,482716,530920,48204
334095,111540,100000,163177503,534096,626144,92048
407949,136106,100000,160481970,497216,624228,127012
417619,139232,100000,95622645,640184,745760,105576
522024,174020,100000,252005713,865500,957096,91596
652530,217720,100000,170420712,957216,1140116,182900
754706,251552,100000,158501073,776160,1083792,307632
1396206,465285,100000,600935590,1393600,1955108,561508

