Cities,Roads,MetroCities,MaxWeight,Connected,Time_microseconds,MemBefore_KB,MemAfter_KB,MemDelta_KB
20,152,8,20000,0,33,77212,77212,0
25,56,24,20000,0,25,77212,77212,0
31,363,23,20000,0,53,77212,77212,0
38,420,23,20000,0,66,77212,77212,0
47,482,8,20000,0,75,77212,77212,0
58,166,10,20000,0,59,77212,77212,0
72,1174,5,20000,0,131,77212,77212,0
90,1337,78,20000,0,157,77212,77212,0
112,889,68,20000,0,154,77212,77212,0
140,6334,100,20000,0,471,78068,78176,108
175,859,4,20000,0,196,78176,78176,0
218,17078,212,20000,0,944,79932,79932,0
272,34592,227,20000,0,1596,82800,82800,0
340,45,73,20000,0,88,82800,82800,0
425,89400,78,20000,0,4334,91168,91168,0
531,86891,98,20000,0,4916,91168,91168,0
663,100000,202,20000,0,4792,93216,93480,264
828,2420,435,20000,0,773,93480,93480,0
1035,12342,448,20000,0,1796,93480,93480,0
1293,100000,377,20000,0,6267,93744,93744,0
1616,100000,989,20000,0,6908,93744,93744,0
2020,95170,282,20000,0,7584,94536,94536,0
2525,100000,738,20000,0,8993,95592,95592,0
3156,100000,1157,20000,0,10063,95592,95592,0
3945,100000,1800,20000,0,11651,95592,95592,0
4931,100000,3872,20000,0,13476,95592,95592,0
6163,100000,1231,20000,0,15676,95592,95592,0
7703,100000,3962,20000,0,18157,95592,95592,0
9628,100000,5704,20000,0,21406,96176,96704,528
12035,100000,560,20000,0,26529,96968,97496,528
15043,100000,9140,20000,0,28759,98024,98024,0
18803,100000,3207,20000,0,35287,99344,99344,0
23503,100000,1529,20000,0,40314,101720,101720,0
29378,100000,27877,20000,0,48705,104020,104020,0
36722,100000,29687,20000,0,56678,106548,106572,24
45902,100000,13983,20000,0,64343,110008,110008,0
57377,100000,5605,20000,0,74932,114036,114036,0
71721,100000,49075,20000,0,85624,119552,119552,0
89651,100000,39461,20000,0,67570,126072,126072,0
112063,100000,13677,20000,0,96927,135888,135888,0
140078,100000,24285,20000,0,77224,152864,152864,0
175097,100000,116007,20000,0,65603,170684,170684,0
218871,100000,93056,20000,0,77966,192272,192272,0
273588,100000,149580,20000,0,94206,225672,225672,0
341985,100000,10710,20000,0,110627,259200,259200,0
427481,100000,401625,20000,0,133823,302896,302896,0
534351,100000,495206,20000,0,163389,368740,368740,0
667938,100000,615773,20000,0,198598,435556,435556,0
834922,100000,476291,20000,0,242162,517748,517748,0
1043652,100000,47206,20000,0,296760,619652,619652,0
1304565,100000,1101837,20000,0,371350,779024,779024,0

