Cities,Roads,MetroCities,MaxWeight,Connected,Time_microseconds,MemBefore_KB,MemAfter_KB,MemDelta_KB
20,152,8,20000,1,42,77180,77180,0
25,56,24,20000,1,28,77212,77212,0
31,363,23,20000,1,59,77212,77212,0
38,420,23,20000,1,69,77212,77212,0
47,482,8,20000,1,78,77212,77212,0
58,166,10,20000,1,59,77212,77212,0
72,1174,5,20000,1,151,77212,77212,0
90,1337,78,20000,1,166,77212,77212,0
112,889,68,20000,1,154,77212,77212,0
140,6334,100,20000,1,460,78000,78000,0
175,859,4,20000,1,204,78176,78176,0
218,17078,212,20000,1,1103,79232,79932,700
272,34592,227,20000,1,1716,82052,82316,264
340,45,73,20000,1,168,82800,82800,0
425,89400,78,20000,1,4369,89056,91168,2112
531,86891,98,20000,1,3916,91168,91168,0
663,100000,202,20000,1,5340,91168,92952,1784
828,2420,435,20000,1,743,93480,93480,0
1035,12342,448,20000,1,1814,93480,93480,0
1293,100000,377,20000,1,6619,93480,93744,264
1616,100000,989,20000,1,6829,93744,93744,0
2020,95170,282,20000,1,7491,93744,93744,0
2525,100000,738,20000,1,8891,94536,94536,0
3156,100000,1157,20000,1,10079,95592,95592,0
3945,100000,1800,20000,1,11338,95592,95592,0
4931,100000,3872,20000,1,13319,95592,95592,0
6163,100000,1231,20000,1,15814,95592,95592,0
7703,100000,3962,20000,1,18173,95592,95592,0
9628,100000,5704,20000,1,21629,95592,95912,320
12035,100000,560,20000,1,25818,96704,96968,264
15043,100000,9140,20000,1,29517,97496,98024,528
18803,100000,3207,20000,1,36237,98024,99344,1320
23503,100000,1529,20000,1,42027,99344,101192,1848
29378,100000,27877,20000,1,48275,101720,104020,2300
36722,100000,29687,20000,1,56257,104020,106548,2528
45902,100000,13983,20000,1,65516,106572,110008,3436
57377,100000,5605,20000,1,75559,110008,114036,4028
71721,100000,49075,20000,1,86991,114036,119552,5516
89651,100000,39461,20000,1,91933,119552,126072,6520
112063,100000,13677,20000,1,104412,126072,135888,9816
140078,100000,24285,20000,1,133473,135888,152864,16976
175097,100000,116007,20000,1,174180,152864,170684,17820
218871,100000,93056,20000,1,229145,170684,192272,21588
273588,100000,149580,20000,1,313472,192272,225672,33400
341985,100000,10710,20000,1,422024,225672,259200,33528
427481,100000,401625,20000,1,595723,259200,302896,43696
534351,100000,495206,20000,1,827750,302896,368740,65844
667938,100000,615773,20000,1,1147892,368740,435556,66816
834922,100000,476291,20000,1,1548060,435556,517748,82192
1043652,100000,47206,20000,1,2072388,517748,619652,101904
1304565,100000,1101837,20000,1,2696506,619652,779024,159372

